county,level,school_name,lat,lon,address
Henrico,Elementary,Pemberton Elementary School,37.608143,-77.57952,"1400 Pemberton Rd, Henrico, VA 23238"
Henrico,Elementary,Pinchbeck Elementary School,37.602368,-77.590002,"1275 Gaskins Rd, Henrico, VA 23238"
Henrico,Elementary,R.C. Longan Elementary School,37.641473,-77.54687,"9200 Mapleview Ave, Henrico, VA 23294"
Henrico,Elementary,Ridge Elementary School,37.605453,-77.55993,"8910 Three Chopt Rd, Richmond, VA 23229"
Henrico,Elementary,Rivers Edge Elementary School,37.686913,-77.578997,"11600 Holman Ridge Rd, Glen Allen, VA 23059"
Henrico,Elementary,Ruby F. Carver Elementary School,37.607055,-77.628171,"1801 Lauderdale Dr, Henrico, VA 23238"
Henrico,Elementary,Sandston Elementary School,37.524717,-77.312328,"7 Naglee Ave, Sandston, VA 23150"
Henrico,Elementary,Seven Pines Elementary School,37.51632,-77.303978,"301 Beulah Rd, Sandston, VA 23150"
Henrico,Elementary,Shady Grove Elementary School,37.694875,-77.614044,"12200 Wyndham Lake Dr, Glen Allen, VA 23059"
Henrico,Elementary,Short Pump Elementary School,37.649174,-77.611987,"3425 Pump Rd, Henrico, VA 23233"
Henrico,Elementary,Skipwith Elementary School,37.618908,-77.53694,"2401 Skipwith Rd, Henrico, VA 23294"
Henrico,Elementary,Springfield Park Elementary School,37.657234,-77.565631,"4301 Fort McHenry Pkwy, Glen Allen, VA 23060"
Henrico,Elementary,Three Chopt Elementary School,37.602658,-77.538699,"1600 Skipwith Rd, Henrico, VA 23229"
Henrico,Elementary,Tuckahoe Elementary School,37.584673,-77.55312,"701 Forest Ave, Henrico, VA 23229"
Henrico,Elementary,Twin Hickory Elementary School,37.672523,-77.599055,"4900 Twin Hickory Lake Dr, Glen Allen, VA 23059"
Henrico,Elementary,Varina Elementary School,37.444865,-77.354419,"2551 New Market Rd, Henrico, VA 23231"
Henrico,Middle,Brookland Middle School,37.640993,-77.480745,"9200 Lydell Dr, Henrico, VA 23228"
Henrico,Middle,Elko Middle School,37.504024,-77.232758,"5901 Elko Rd, Sandston, VA 23150"
Henrico,Middle,Fairfield Middle School,37.546282,-77.360566,"5121 Nine Mile Rd, Richmond, VA 23223"
