county,level,school_name,lat,lon,address
Henrico,Elementary,Pinchbeck Elementary School,37.6019,-77.5901,"1275 Gaskins Rd, Henrico, VA 23238"
Henrico,Elementary,R.C. Longan Elementary School,37.6337,-77.5342,"9200 Mapleview Ave, Henrico, VA 23294"
Henrico,Elementary,Ridge Elementary School,37.601,-77.591,"8910 Three Chopt Rd, Richmond, VA 23229"
Henrico,Elementary,Rivers Edge Elementary School,37.6853,-77.5888,"11600 Holman Ridge Rd, Glen Allen, VA 23059"
Henrico,Elementary,Ruby F. Carver Elementary School,37.6152,-77.6092,"1801 Lauderdale Dr, Henrico, VA 23238"
Henrico,Elementary,Sandston Elementary School,37.5229,-77.3197,"7 Naglee Ave, Sandston, VA 23150"
Henrico,Elementary,Seven Pines Elementary School,37.5347,-77.2944,"301 Beulah Rd, Sandston, VA 23150"
Henrico,Elementary,Shady Grove Elementary School,37.7126,-77.6053,"12200 Wyndham Lake Dr, Glen Allen, VA 23059"
Henrico,Elementary,Short Pump Elementary School,37.6581,-77.6192,"3425 Pump Rd, Henrico, VA 23233"
Henrico,Elementary,Skipwith Elementary School,37.6253,-77.5432,"2401 Skipwith Rd, Henrico, VA 23294"
Henrico,Elementary,Springfield Park Elementary School,37.65,-77.575,"4301 Fort McHenry Pkwy, Glen Allen, VA 23060"
Henrico,Elementary,Three Chopt Elementary School,37.6083,-77.5381,"1600 Skipwith Rd, Henrico, VA 23229"
Henrico,Elementary,Tuckahoe Elementary School,37.5759,-77.5344,"701 Forest Ave, Henrico, VA 23229"
Henrico,Elementary,Twin Hickory Elementary School,37.6766,-77.5968,"4900 Twin Hickory Lake Dr, Glen Allen, VA 23059"
Henrico,Elementary,Varina Elementary School,37.4339,-77.3486,"2551 New Market Rd, Henrico, VA 23231"
Henrico,Middle,Brookland Middle School,37.6308,-77.4988,"9200 Lydell Dr, Henrico, VA 23228"
Henrico,Middle,Elko Middle School,37.4947,-77.2436,"5901 Elko Rd, Sandston, VA 23150"
Henrico,Middle,Fairfield Middle School,37.548,-77.397,"5121 Nine Mile Rd, Richmond, VA 23223"
Henrico,Middle,George H. Moody Middle School,37.6206,-77.4889,"7800 Woodman Rd, Henrico, VA 23228"
Henrico,Middle,Holman Middle School,37.6836,-77.5747,"600 Concourse Blvd, Glen Allen, VA 23059"
Henrico,Middle,Hungary Creek Middle School,37.6433,-77.5558,"4909 Francistown Rd, Glen Allen, VA 23060"
Henrico,Middle,John Rolfe Middle School,37.4878,-77.3494,"6901 Messer Rd, Henrico, VA 23231"
Henrico,Middle,L. Douglas Wilder Middle School,37.6167,-77.4361,"6900 Wilkinson Rd, Henrico, VA 23227"
Henrico,Middle,Pocahontas Middle School,37.6547,-77.5997,"12000 Three Chopt Rd, Henrico, VA 23233"
Henrico,Middle,Quioccasin Middle School,37.6047,-77.5683,"9400 Quioccasin Rd, Henrico, VA 23238"
Henrico,Middle,Short Pump Middle School,37.6781,-77.6158,"4701 Pouncey Tract Rd, Glen Allen, VA 23059"
Henrico,Middle,Tuckahoe Middle School,37.5989,-77.5544,"9000 Three Chopt Rd, Henrico, VA 23229"
Henrico,High,Deep Run High School,37.6749,-77.5936,"4801 Twin Hickory Rd, Glen Allen, VA 23059"
Henrico,High,Douglas S. Freeman High School,37.5975,-77.5486,"8701 Three Chopt Rd, Henrico, VA 23229"
Henrico,High,Glen Allen High School,37.6662,-77.5352,"10700 Staples Mill Rd, Glen Allen, VA 23060"
Henrico,High,Henrico High School,37.6006,-77.4267,"302 Azalea Ave, Henrico, VA 23227"
Henrico,High,Hermitage High School,37.6197,-77.5147,"8301 Hungary Spring Rd, Henrico, VA 23228"
Henrico,High,Highland Springs High School,37.5408,-77.3242,"200 S Airport Dr, Highland Springs, VA 23075"
Henrico,High,John Randolph Tucker High School,37.622,-77.54,"2910 N Parham Rd, Richmond, VA 23294"
Henrico,High,Mills E. Godwin High School,37.6186,-77.5878,"2101 Pump Rd, Henrico, VA 23238"
Henrico,High,Varina High School,37.4844,-77.3489,"7053 Messer Rd, Henrico, VA 23231"
Henrico,High,The Academy at Virginia Randolph,37.6681,-77.4883,"2206 Mountain Rd, Glen Allen, VA 23060"
Chesterfield,Elementary,Crestwood Elementary School,37.5197,-77.5583,"7600 Whittington Dr, Richmond, VA 23235"
Chesterfield,Elementary,C.E. Curtis Elementary School,37.3564,-77.4647,"3600 W Hundred Rd, Chester, VA 23831"
Chesterfield,Elementary,Clover Hill Elementary School,37.42,-77.68,"5700 Woodlake Village Pkwy, Midlothian, VA 23112"
Chesterfield,Elementary,Crenshaw Elementary School,37.4258,-77.6508,"11901 Bailey Bridge Rd, Midlothian, VA 23112"
Chesterfield,Elementary,Elizabeth Scott Elementary School,37.33,-77.44,"813 Beginners Trail Loop, Chester, VA 23836"
Chesterfield,Elementary,Marguerite Christian Elementary School,37.2881,-77.3789,"14801 Woods Edge Rd, Colonial Heights, VA 23834"
Chesterfield,High,Lloyd C. Bird High School,37.3986,-77.5175,"10301 Courthouse Rd, Chesterfield, VA 23832"
Chesterfield,High,Clover Hill High School,37.4431,-77.6689,"13301 Kelly Green Ln, Midlothian, VA 23112"
Chesterfield,High,Cosby High School,37.4097,-77.6894,"14300 Fox Club Pkwy, Midlothian, VA 23112"
Chesterfield,High,Midlothian High School,37.4989,-77.6447,"401 Charter Colony Pkwy, Midlothian, VA 23114"
Chesterfield,High,James River High School,37.5342,-77.6258,"3700 James River Rd, Midlothian, VA 23113"
Chesterfield,Middle,Bailey Bridge Middle School,37.4222,-77.6653,"12501 Bailey Bridge Rd, Midlothian, VA 23112"
Chesterfield,Middle,Carver Middle School,37.3517,-77.4267,"3800 Cougar Tr, Chester, VA 23831"
Chesterfield,Middle,Elizabeth Davis Middle School,37.331,-77.441,"601 Corvus Court, Chester, VA 23836"
Chesterfield,Middle,Deep Creek Middle School,37.45,-77.75,"17151 Westerleigh Parkway, Moseley, VA 23120"
Chesterfield,Middle,Falling Creek Middle School,37.4,-77.545,"4780 Hopkins Rd, North Chesterfield, VA 23234"
