county,level,school_name,lat,lon,address
Henrico,Elementary,Skipwith Elementary School,,,"2401 Skipwith Rd, Henrico, VA 23294"
Henrico,Elementary,Springfield Park Elementary School,,,"4301 Fort McHenry Pkwy, Glen Allen, VA 23060"
Henrico,Elementary,Three Chopt Elementary School,,,"1600 Skipwith Rd, Henrico, VA 23229"
Henrico,Elementary,Tuckahoe Elementary School,,,"701 Forest Ave, Henrico, VA 23229"
Henrico,Elementary,Twin Hickory Elementary School,,,"4900 Twin Hickory Lake Dr, Glen Allen, VA 23059"
Henrico,Elementary,Varina Elementary School,,,"2551 New Market Rd, Henrico, VA 23231"
Henrico,Middle,Brookland Middle School,,,"9200 Lydell Dr, Henrico, VA 23228"
Henrico,Middle,Elko Middle School,,,"5901 Elko Rd, Sandston, VA 23150"
Henrico,Middle,Fairfield Middle School,,,"5121 Nine Mile Rd, Richmond, VA 23223"
Henrico,Middle,George H. Moody Middle School,,,"7800 Woodman Rd, Henrico, VA 23228"
Henrico,Middle,Holman Middle School,,,"600 Concourse Blvd, Glen Allen, VA 23059"
Henrico,Middle,Hungary Creek Middle School,,,"4909 Francistown Rd, Glen Allen, VA 23060"
Henrico,Middle,John Rolfe Middle School,,,"6901 Messer Rd, Henrico, VA 23231"
Henrico,Middle,L. Douglas Wilder Middle School,,,"6900 Wilkinson Rd, Henrico, VA 23227"
Henrico,Middle,Pocahontas Middle School,,,"12000 Three Chopt Rd, Henrico, VA 23233"
Henrico,Middle,Quioccasin Middle School,,,"9400 Quioccasin Rd, Henrico, VA 23238"
Henrico,Middle,Short Pump Middle School,,,"4701 Pouncey Tract Rd, Glen Allen, VA 23059"
Henrico,Middle,Tuckahoe Middle School,,,"9000 Three Chopt Rd, Henrico, VA 23229"
Henrico,High,Deep Run High School,,,"4801 Twin Hickory Rd, Glen Allen, VA 23059"
Henrico,High,Douglas S. Freeman High School,,,"8701 Three Chopt Rd, Henrico, VA 23229"
Henrico,High,Glen Allen High School,,,"10700 Staples Mill Rd, Glen Allen, VA 23060"
Henrico,High,Henrico High School,,,"302 Azalea Ave, Henrico, VA 23227"
Henrico,High,Hermitage High School,,,"8301 Hungary Spring Rd, Henrico, VA 23228"
Henrico,High,Highland Springs High School,,,"200 S Airport Dr, Highland Springs, VA 23075"
Henrico,High,John Randolph Tucker High School,,,"2910 N Parham Rd, Richmond, VA 23294"
